date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:44:32	60341/60341	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Jul%202021%2018:44:32%20GMT	https://www.linux4sam.org/bin/view/Linux4SAM/Sama5d2IcpMainPage	/home/pvilchez/tmp/Linux4SAM/www.linux4sam.org/bin/view/Linux4SAM/Sama5d2IcpMainPage.html	(from https://www.linux4sam.org/bin/view/Linux4SAM)
20:44:34	78736/78736	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Jul%202021%2018:44:34%20GMT	https://www.linux4sam.org/bin/view/Linux4SAM/SoftwareTools	/home/pvilchez/tmp/Linux4SAM/www.linux4sam.org/bin/view/Linux4SAM/SoftwareTools.html	(from https://www.linux4sam.org/bin/view/Linux4SAM)
20:44:35	27000/27000	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Jul%202021%2018:44:35%20GMT	https://www.linux4sam.org/bin/view/Linux4SAM/U-BootFAQ	/home/pvilchez/tmp/Linux4SAM/www.linux4sam.org/bin/view/Linux4SAM/U-BootFAQ.html	(from https://www.linux4sam.org/bin/view/Linux4SAM)
20:44:37	42719/42719	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Jul%202021%2018:44:36%20GMT	https://www.linux4sam.org/bin/view/Linux4SAM/WilcFaq	/home/pvilchez/tmp/Linux4SAM/www.linux4sam.org/bin/view/Linux4SAM/WilcFaq.html	(from https://www.linux4sam.org/bin/view/Linux4SAM)
20:44:41	84376/84376	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Jul%202021%2018:44:38%20GMT	https://www.linux4sam.org/bin/view/Linux4SAM/Sama5d2PtcEKMainPage	/home/pvilchez/tmp/Linux4SAM/www.linux4sam.org/bin/view/Linux4SAM/Sama5d2PtcEKMainPage.html	(from https://www.linux4sam.org/bin/view/Linux4SAM)
20:44:45	88086/88086	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Jul%202021%2018:44:42%20GMT	https://www.linux4sam.org/bin/view/Linux4SAM/Sama5d3XplainedMainPage	/home/pvilchez/tmp/Linux4SAM/www.linux4sam.org/bin/view/Linux4SAM/Sama5d3XplainedMainPage.html	(from https://www.linux4sam.org/bin/view/Linux4SAM)
20:44:46	89157/89157	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Jul%202021%2018:44:46%20GMT	https://www.linux4sam.org/bin/view/Linux4SAM/Sama5d4XplainedMainPage	/home/pvilchez/tmp/Linux4SAM/www.linux4sam.org/bin/view/Linux4SAM/Sama5d4XplainedMainPage.html	(from https://www.linux4sam.org/bin/view/Linux4SAM)
20:44:48	24891/24891	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Jul%202021%2018:44:48%20GMT	https://www.linux4sam.org/bin/view/Linux4SAM/DemoArchive6_2_icp	/home/pvilchez/tmp/Linux4SAM/www.linux4sam.org/bin/view/Linux4SAM/DemoArchive6_2_icp.html	(from https://www.linux4sam.org/bin/view/Linux4SAM)
20:44:52	43248/43248	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Jul%202021%2018:44:49%20GMT	https://www.linux4sam.org/bin/view/Linux4SAM/SOM1EKeMMCSupport	/home/pvilchez/tmp/Linux4SAM/www.linux4sam.org/bin/view/Linux4SAM/SOM1EKeMMCSupport.html	(from https://www.linux4sam.org/bin/view/Linux4SAM)
20:44:53	38285/38285	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Jul%202021%2018:44:53%20GMT	https://www.linux4sam.org/bin/view/Linux4SAM/UsingI2SC	/home/pvilchez/tmp/Linux4SAM/www.linux4sam.org/bin/view/Linux4SAM/UsingI2SC.html	(from https://www.linux4sam.org/bin/view/Linux4SAM)
20:44:58	22482/22482	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Jul%202021%2018:44:58%20GMT	https://www.linux4sam.org/bin/view/Linux4SAM/UsingPTC	/home/pvilchez/tmp/Linux4SAM/www.linux4sam.org/bin/view/Linux4SAM/UsingPTC.html	(from https://www.linux4sam.org/bin/view/Linux4SAM)
20:44:59	77836/77836	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Jul%202021%2018:44:59%20GMT	https://www.linux4sam.org/bin/view/Linux4SAM/DemoArchive6_2	/home/pvilchez/tmp/Linux4SAM/www.linux4sam.org/bin/view/Linux4SAM/DemoArchive6_2.html	(from https://www.linux4sam.org/bin/view/Linux4SAM)
20:45:01	75812/75812	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Jul%202021%2018:45:01%20GMT	https://www.linux4sam.org/bin/view/Linux4SAM/UsingISC	/home/pvilchez/tmp/Linux4SAM/www.linux4sam.org/bin/view/Linux4SAM/UsingISC.html	(from https://www.linux4sam.org/bin/view/Linux4SAM)
20:45:02	38547/38547	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Jul%202021%2018:45:02%20GMT	https://www.linux4sam.org/bin/view/Linux4SAM/ISCWhiteBalanceFeatures	/home/pvilchez/tmp/Linux4SAM/www.linux4sam.org/bin/view/Linux4SAM/ISCWhiteBalanceFeatures.html	(from https://www.linux4sam.org/bin/view/Linux4SAM)
20:45:04	68435/68435	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Jul%202021%2018:45:04%20GMT	https://www.linux4sam.org/bin/view/Linux4SAM/DemoArchive6_1	/home/pvilchez/tmp/Linux4SAM/www.linux4sam.org/bin/view/Linux4SAM/DemoArchive6_1.html	(from https://www.linux4sam.org/bin/view/Linux4SAM)
